date, pm25, pm10, o3, no2, so2, co
2023/9/21, 25, 8, 30, 8, , 
2023/9/22, 16, 8, 27, 7, , 
2023/9/23, 5, 13, 28, 11, , 
2023/9/24, 15, 14, 32, 14, , 
2023/9/25, 12, 27, 32, 18, , 
2023/9/26, 46, 27, 24, 21, , 
2023/9/27, 66, 29, 28, 20, , 
2023/9/28, 60, 28, 28, 20, , 
2023/9/29, 61, 17, 32, 9, , 
2023/9/30, 34, 19, 31, 15, 1, 
2023/4/1, 18, 6, 24, 7, , 
2023/4/2, 12, 6, 31, 7, , 
2023/4/3, 14, 8, 35, 8, , 
2023/4/4, 20, 13, 32, 14, , 
2023/4/5, 42, 22, 36, 20, , 
2023/4/6, 54, 18, 36, 9, , 
2023/4/7, 61, 10, 30, 12, , 
2023/4/8, 38, 12, 29, 8, , 
2023/4/9, 45, 14, 36, 13, , 
2023/4/10, 42, 5, 36, 8, , 
2023/4/11, 22, 10, 32, 9, , 
2023/4/12, 19, 6, 33, 8, , 
2023/4/13, 18, 12, 37, 16, , 
2023/4/14, 22, 12, 35, 18, , 
2023/4/15, 24, 12, 27, 8, , 
2023/4/16, 46, 14, 28, 9, , 
2023/4/17, 52, 17, 30, 11, , 
2023/4/18, 48, 11, 37, 8, , 
2023/4/19, 44, 11, 39, 10, , 
2023/4/20, 25, 24, 28, 12, , 
2023/4/21, 71, 12, 38, 17, , 
2023/4/22, 43, 8, 35, 8, , 
2023/4/23, 37, 5, 36, 8, , 
2023/4/24, 17, 11, 35, 10, , 
2023/4/25, 26, 13, 37, 15, , 
2023/4/26, 25, 17, 39, 16, , 
2023/4/27, 38, 23, 36, 19, , 
2023/4/28, 59, 18, 25, 11, , 
2023/4/29, 34, 14, 36, 6, , 
2023/4/30, 41, 6, 38, 7, , 
2023/5/1, 22, 21, 35, 11, , 
2023/5/2, 62, 10, 37, 8, , 
2023/5/3, 20, 12, 41, 12, , 
2023/5/4, 35, 19, 39, 19, , 
2023/5/5, 45, 6, 37, 11, , 
2023/5/6, 14, 6, 34, 10, , 
2023/5/7, 34, 23, 28, 10, , 
2023/5/8, 57, 27, 23, 13, , 
2023/5/9, 65, 5, 30, 10, , 
2023/5/10, 31, 6, 28, 11, , 
2023/5/11, 17, 13, 20, 13, , 
2023/5/12, 31, 10, 36, 13, , 
2023/5/13, 27, 13, 32, 10, , 
2023/5/14, 45, 13, 41, 10, , 
2023/5/15, 33, 19, 39, 9, , 
2023/5/16, 42, 8, 35, 9, , 
2023/5/17, 16, 14, 37, 8, , 
2023/5/18, 16, 12, 39, 9, , 
2023/5/19, 25, 10, 36, 7, , 
2023/5/20, 38, 24, 41, 9, , 
2023/5/21, 56, 25, 52, 15, , 
2023/5/22, 64, 33, 40, 13, , 
2023/5/23, 48, 9, 28, 8, , 
2023/5/24, 8, 5, 35, 7, , 
2023/5/25, 5, 16, 40, 11, , 
2023/5/26, 36, 22, 43, 8, , 
2023/5/27, 48, 13, 47, 11, , 
2023/5/28, 47, 5, 46, 10, , 
2023/5/29, 47, 6, 42, 7, , 
2023/5/30, 36, 3, 43, 8, , 
2023/5/31, 30, 20, 45, 13, , 
2023/6/1, 35, 22, 44, 6, , 
2023/6/2, 44, 17, 41, 6, , 
2023/6/3, 36, 12, 45, 6, , 
2023/6/4, 20, 16, 48, 12, , 
2023/6/5, 21, 21, 51, 12, , 
2023/6/6, 36, 23, 55, 11, , 
2023/6/7, 59, 25, 55, 8, , 
2023/6/8, 73, 20, 48, 12, , 
2023/6/9, 56, 22, 52, 10, , 
2023/6/10, 57, 26, 55, 7, , 
2023/6/11, 72, 15, 53, 10, , 
2023/6/12, 41, 18, 50, 10, , 
2023/6/13, 46, 19, 52, 9, , 
2023/6/14, 46, 13, 43, 9, , 
2023/6/15, 44, 19, 46, 13, , 
2023/6/16, 52, 23, 63, 14, , 
2023/6/17, 59, 24, 75, 13, , 
2023/6/18, 57, 20, 65, 13, , 
2023/6/19, 63, 24, 49, 14, , 
2023/6/20, 67, 24, 45, 11, , 
2023/6/21, 57, 20, 54, 12, , 
2023/6/22, 52, 14, 42, 8, , 
2023/6/23, 28, 15, 62, 14, , 
2023/6/24, 46, 22, 60, 15, , 
2023/6/25, 61, 18, 50, 15, , 
2023/6/26, 60, 6, 43, 10, , 
2023/6/27, 19, 13, 42, 12, , 
2023/6/28, 18, 15, 41, 13, , 
2023/6/29, 43, 24, 37, 12, , 
2023/6/30, 56, 8, 37, 12, , 
2023/2/11, 102, 40, , , , 
2023/2/14, 73, 35, 5, 16, , 
2023/2/15, 75, 31, 4, 17, , 
2023/2/16, 66, 26, 19, 15, , 
2023/2/17, 62, 29, 29, 6, , 
2023/2/18, 16, 2, 27, 5, , 
2023/2/19, 20, 1, 28, 10, , 
2023/2/20, 27, 7, 20, 18, , 
2023/2/21, 55, 23, 6, 19, , 
2023/2/22, 82, 43, 11, 19, , 
2023/2/23, 104, 46, 24, 12, , 
2023/2/24, 60, 25, 28, 7, , 
2023/2/25, 9, 5, 28, 8, , 
2023/2/26, 5, 6, 25, 7, , 
2023/2/27, 5, 3, 26, 10, , 
2023/2/28, 17, 9, 30, 12, , 
2023/3/1, 61, 21, 28, 12, , 
2023/3/2, 60, 20, 20, 19, , 
2023/3/3, 72, 32, 29, 17, , 
2023/3/4, 68, 31, 31, 11, , 
2023/3/5, 38, 13, 28, 12, , 
2023/3/6, 32, 12, 28, 9, , 
